index,context,target,output,domain
104,being a determined lady gets me far in life.,my job involves saving lives.,I pursued a career as an EMT.,out_of_domain
105,i like working with numbers.,my many siblings were a big part of my home life.,I taught my siblings how to do math when I was younger.,out_of_domain
107,i like working with numbers.,my many siblings were a big part of my home life.,My father was an accountant.  It was a good way to support the large family that we had.,out_of_domain
108,i workout every day.,i do not get to see my parents very often.,I don't see my parents often since I workout all the time.,out_of_domain
109,i workout every day.,i do not get to see my parents very often.,There is a gym by my parents home.  I'm going to stop by when I visit them for the holidays.,out_of_domain
110,i workout every day.,i do not get to see my parents very often.,I am always busy working out and working.,out_of_domain
111,i really like all kinds of food but i prefer mexican.,i watch performing arts.,I just went to a production about the Day of the Dead.,out_of_domain
112,i really like all kinds of food but i prefer mexican.,i watch performing arts.,"I like everything Mexican, especially salsa dancing.",out_of_domain
113,i really like all kinds of food but i prefer mexican.,i watch performing arts.,The performing Arts Center serves Mexican cuisine.,out_of_domain
114,i like to move to the music.,i like the hue of the sky.,I like dancing outside under the sky.  I love the color of the sky.,out_of_domain
115,i like to move to the music.,i like the hue of the sky.,Some music feels like it has colors.,out_of_domain
116,i like to move to the music.,i like the hue of the sky.,I like dancing outside.,out_of_domain
117," i am an artist , i work with watercolors.",i hate christmas.,I do watercolor paintings instead of celebrating Christmas.,out_of_domain
118," i am an artist , i work with watercolors.",i hate christmas.,I like the paintings on Christmas cards,out_of_domain
119," i am an artist , i work with watercolors.",i hate christmas.,I love doing art.  However I make no money from it so I can't buy Christmas gifts.,out_of_domain
121,i was a pilot a long time ago.,i read a lot of young adult fiction.,I like reading books while on a plane.,out_of_domain
122,i was a pilot a long time ago.,i read a lot of young adult fiction.,"I've never been able to work, as I'm disabled. I spend a lot of time reading.",out_of_domain
123,i have a very strong body.,i like historical films.,"My favorite historical film, Spartacus, inspired me to work out and get a strong body like the gladiators in that movie.",out_of_domain
124,i have a very strong body.,i like historical films.,I like watching classic bodybuilding videos.,out_of_domain
126,i watch kids.,i have always liked nice cars.,My child wants to become a car designer.,out_of_domain
127,i watch kids.,i have always liked nice cars.,"I don't mind babysitting, but I don't want my own. They aren't compatible with my corvette.",out_of_domain
128,i watch kids.,i have always liked nice cars.,I take them for rides in my Jaguar.,out_of_domain
129,i read a lot of used books.,i like cats.,My cat curls up in my lap when I read.,out_of_domain
130,i read a lot of used books.,i like cats.,I found a bookstore that features the owner's three cats because I like cats.,out_of_domain
132,i go to the water and use my boat.,i bite my fingernails.,I sometimes get nervous when I'm out on the water.,out_of_domain
133,i go to the water and use my boat.,i bite my fingernails.,Sometimes being out on the water makes me nervous.,out_of_domain
134,i work regular hours just like the guy next to me.,i never hope to stop working no matter how old i become.,i am the oldest person i know who still works,out_of_domain
135,i work regular hours just like the guy next to me.,i never hope to stop working no matter how old i become.,I work a lot of hours too.  I don't think that I will ever retire.,out_of_domain
136,i work regular hours just like the guy next to me.,i never hope to stop working no matter how old i become.,"I have a neighbor that just retired, and he's bored to death.",out_of_domain
137,i study to be a businessman.,i like to celebrate with friends.,I just graduated from business school and will go out to celebrate.,out_of_domain
138,i study to be a businessman.,i like to celebrate with friends.,"When I got my business degree, I partied with my friends.",out_of_domain
139,i study to be a businessman.,i like to celebrate with friends.,I passed my business exam.,out_of_domain
140,i like the hue of the sky.,my dear ones are my biggest strength and weakness.,"I love when the sky has a certain hie, which makes me think of my guardian angels who are a strenght to me.",out_of_domain
141,i like the hue of the sky.,my dear ones are my biggest strength and weakness.,I find beauty in things that others do not and am a very introspective type person.,out_of_domain
142,i like the hue of the sky.,my dear ones are my biggest strength and weakness.,The blue sky makes me think about my family.,out_of_domain
143,i like the hue of the sky.,my dear ones are my biggest strength and weakness.,I look at the sky with my children.,out_of_domain
144,i like the hue of the sky.,my dear ones are my biggest strength and weakness.,I take my dear ones outside to play every weekend.,out_of_domain
145,i like the hue of the sky.,my dear ones are my biggest strength and weakness.,I like lying out with my spouse on a summer night watching the stars.,out_of_domain
146,my spouse runs a car fixing business.,i have a job in a supermarket.,I am currently looking for a job.,out_of_domain
147,my spouse runs a car fixing business.,i have a job in a supermarket.,My partner fixes cars for a living.  My job is in a supermarket.,out_of_domain
148,my spouse runs a car fixing business.,i have a job in a supermarket.,His business does not make enough money for bills. I went out and found work.,out_of_domain
149,i raise animals.,i help take care of pets.,I work at the shelter.,out_of_domain
150,i raise animals.,i help take care of pets.,"That's cool, is that your job? What exactly do you do?",out_of_domain
151,i raise animals.,i help take care of pets.,I grew up on a farm.  Now I work taking care of animals.,out_of_domain
153,i raise animals.,i help take care of pets.,I was born on a farm.  I love caring for pets.,out_of_domain
154,i raise animals.,i help take care of pets.,I have a dog that needs dogsitting.,out_of_domain
155,the color of my locks in not natural.,i have no siblings.,"Since I had no brothers or sisters, my mom had to teach me how to cut and dye my hair when I was growing up.",out_of_domain
156,the color of my locks in not natural.,i have no siblings.,My sibling has a different hair color than me.,out_of_domain
157,the color of my locks in not natural.,i have no siblings.,I used to try all kinds of weird things with my hair when I was bored as a child.,out_of_domain
158,i love to read.,i have a toddler.,"Unfortunately, I don't get to read much any more because I have no time.",out_of_domain
159,i love to read.,i have a toddler.,"But these days, I'm mostly reading childrens books outloud to my toddler.",out_of_domain
161,i have a lot of pets.,i have tons of buddies.,My friends come over often to see my pets.,out_of_domain
162,i have a lot of pets.,i have tons of buddies.,I consider all my pets my friends as well.,out_of_domain
163,i have a lot of pets.,i have tons of buddies.,"They say people who love animals are more sociable, which is true for me. I have a lot of animals and a lot of friends.",out_of_domain
164,i have a lot of pets.,i have tons of buddies.,I don't think I have the patience to deal with pets.  I like having my friends that go home at night.,out_of_domain
165,i have a lot of pets.,i have tons of buddies.,"All of my buddies have pets and I have none, so whenever they're out of town I babysit their animals. Sometimes it feels like I also have a lot of pets!",out_of_domain
166,i have a lot of pets.,i have tons of buddies.,I like to hang out with my dogs and friends at the park.,out_of_domain
167,i have lots of friends.,i do not like music.,I don't like to listen to music with my friends.,out_of_domain
169,i have lots of friends.,i do not like music.,We don't go to concerts much.,out_of_domain
170,desert is my favorite type of food.,i enjoy jogging.,I have to exercise more and more because I love dessert so much that I've been gaining weight.,out_of_domain
171,desert is my favorite type of food.,i enjoy jogging.,I love desert.  I don't feel guilty eating it because of how much I jog.,out_of_domain
172,desert is my favorite type of food.,i enjoy jogging.,I jog to work off the desert I like to eat.,out_of_domain
173,i work on my days off.,i spend a lot of time answering phones.,People are always getting me to hang out.,out_of_domain
174,i work on my days off.,i spend a lot of time answering phones.,I work a lot too.  I work in a place answering phones.,out_of_domain
175,i work on my days off.,i spend a lot of time answering phones.,I work from home with a call center.,out_of_domain
177,i love to surf.,i am starting a new juicing bar.,I’m thinking of starting a new juicing bar and the beach would be a great location for it because I know a lot of surfers would love some healthy juices.,out_of_domain
178,i take care of animals for my job.,in my home we have several canines.,I adopted a few dogs from the shelter I work at.,out_of_domain
180,i take care of animals for my job.,in my home we have several canines.,I adopted the canines from an animal shelter I used to work at.,out_of_domain
182,i take care of animals for my job.,in my home we have several canines.,"I was unable to afford veterinary school after high school and had to settle on a different career path, but I still love caring for the dogs we've adopted at our home.",out_of_domain
183,i take care of animals for my job.,in my home we have several canines.,I sometimes volunteer as a dog walker.,out_of_domain
184,i work many hours rehearsing for my show.,i am a ballet dancer.,I'm dedicated to my career.,out_of_domain
185,i work many hours rehearsing for my show.,i am a ballet dancer.,The hardest part about ballet is having to rehearse for hours and hours on end to get the performance just right.,out_of_domain
186,i work many hours rehearsing for my show.,i am a ballet dancer.,What kind of show?,out_of_domain
188,i enjoy viewing the animals in the wild.,i love videotaping my dog doing cute stuff.,I take videos of animals whenever I can.,out_of_domain
189,i enjoy viewing the animals in the wild.,i love videotaping my dog doing cute stuff.,I've started videotaping everything. I even videotaped the wild animals I saw when I took a vacation to the Grand Canyon.,out_of_domain
190," my dad was a proud soldier , too.",i am not a vegan.,I grew up on the cattle ranch that was passed down to my dad.,out_of_domain
191," my dad was a proud soldier , too.",i am not a vegan.,My dad ate meat on the battle field.,out_of_domain
192," my dad was a proud soldier , too.",i am not a vegan.,It was hard for my dad because there was no vegan option in the army.,out_of_domain
193,my office is the internet.,i love steaks.,I couldn't handle being cooped up in an office. I even barbecue all my meals so I can be outdoors.,out_of_domain
194,my office is the internet.,i love steaks.,I was on the internet the other day.  Did you know you can order steaks online?  I love steaks.,out_of_domain
195,my office is the internet.,i love steaks.,"My office is the kitchen.  I love to cook and eat, and especially I love steaks.",out_of_domain
196,i wanted something other than red to color my fingers.,i went past my masters and have higher qualifications in the books and letters of rome.,I'm not only into fashion. I'm also highly educated.,out_of_domain
197,i wanted something other than red to color my fingers.,i went past my masters and have higher qualifications in the books and letters of rome.,Red was a particularly thematic color in ancient rome.,out_of_domain
198,i wanted something other than red to color my fingers.,i went past my masters and have higher qualifications in the books and letters of rome.,Coloring my fingers makes me look distinguished.  Another way I stand out is getting all of my college degrees.,out_of_domain
199,i have always wanted to cook for people.,i buy a lot of clothes.,Cooking and sewing are important home skills. I want to sew so I don't spend too much on clothes.,out_of_domain
200,i have always wanted to cook for people.,i buy a lot of clothes.,Cooking connects me with people.  I also connect with people buy showing off all my clothes.,out_of_domain
201,i have always wanted to cook for people.,i buy a lot of clothes.,I usually spend all my money on buying clothes so I don't have a lot left over for entertaining,out_of_domain
202,1984 is my favorite book.,i love book.,I love to read 1984.,out_of_domain
203,1984 is my favorite book.,i love book.,I find reading relaxing when I am stressed.,out_of_domain
204,1984 is my favorite book.,i love book.,I read so many book.,out_of_domain
205,i am a competitive ski racer.,although i ski down high hills,Thats cool. Those high hills look scary.,out_of_domain
206,i am a competitive ski racer.,although i ski down high hills,I don't like high terrain.,out_of_domain
207,i am having kids soon.,i am a father.,I have yet to raise a child.,out_of_domain
208,i am having kids soon.,i am a father.,I already have kids.  I'm a father.,out_of_domain
209,i am having kids soon.,i am a father.,You are going to love having children.,out_of_domain
210,my mom takes care of my grandma.,i stay asleep all night.,I couldn't do that.  I need to get my sleep at night.,out_of_domain
211,my mom takes care of my grandma.,i stay asleep all night.,My grandma has a hard time sleeping at night.,out_of_domain
213,my boyfriend is in acting school.,i am a great baker.,He needed some cakes for props in a play.  So I baked some.,out_of_domain
214,my boyfriend is in acting school.,i am a great baker.,"How that's incredible! My girlfriend is currently in culinary school, she wants to work with pastries.",out_of_domain
215,my parents had more than one child.,i talk to a mental health professional but i do not think she gets me.,"My parents only had me, which was definitely more than they should have had.",out_of_domain
216,my parents had more than one child.,i talk to a mental health professional but i do not think she gets me.,I am an only child and I think that may have negatively affected me.,out_of_domain
217,my parents had more than one child.,i talk to a mental health professional but i do not think she gets me.,My parents sent me to therapy.,out_of_domain
218,i like to eat beef.,i enjoy music.,My interests don't really revolve around food.,out_of_domain
219,i like to eat beef.,i enjoy music.,I like listening to music while I eat.,out_of_domain
220,i like to eat beef.,i enjoy music.,I listen to the background songs at McDonalds.,out_of_domain
221,i am going to school to get a degree now.,i like to play sports and get fresh air.,"I went to school on a football scholarship. I enjoy sports, and getting fresh air.",out_of_domain
222,i am going to school to get a degree now.,i like to play sports and get fresh air.,I have fond memories of being in college and playing sports in the warm spring air.,out_of_domain
223,i tell jokes on stage.,i do not know many people.,I would be way to shy for anything like that.,out_of_domain
224,i tell jokes on stage.,i do not know many people.,I use humor to get friends.,out_of_domain
225,i tell jokes on stage.,i do not know many people.,I get nervous in front of people.,out_of_domain
226,i have a weird hobby of hunting giant reptiles in remote locations !.,my vehicle is a dark color.,I need to be camouflaged o catch them.,out_of_domain
227,i have a weird hobby of hunting giant reptiles in remote locations !.,my vehicle is a dark color.,I once had a pet chameleon and he blended in with my dark colored rug and I almost swept him up in my vaccuum.,out_of_domain
229,i enjoy shopping.,i don t have children.,I love to go shopping.  It's easy when you don't have any kids to worry about.,out_of_domain
230,i enjoy shopping.,i don t have children.,I remember shopping for school clothes.,out_of_domain
232,i take care of people.,i excercise my right as a us citizen.,Is that your job? Or are you just a nice person? Also did you buy a gun recently?,out_of_domain
233,i take care of people.,i excercise my right as a us citizen.,"Being  a secret service agent is very rewarding and  lets me carry a gun,",out_of_domain
234,i have two cats.,i like to eat tune.,Feline food smells like fish.,out_of_domain
237,my mom is the best baker in my family.,i am in my second year of medical school.,My family are all doctors who aren't good at baking.,out_of_domain
239,i like to surf.,i am a mechanic.,What is it you do for a living?,out_of_domain
240,i like skateboarding.,my favorite food is pizza.,I don't usually have time to cook because I am always skateboarding.,out_of_domain
241,my father passed away when i was a teen.,i am in advertising.,"I had to get a job as a teenager because my parents both died young, and the advertising world gave me the stability I needed.",out_of_domain
242,my father passed away when i was a teen.,i am in advertising.,It has been tough but I still succeeded.,out_of_domain
243,my father passed away when i was a teen.,i am in advertising.,Sad to hear that happened then. How did you cope with it?,out_of_domain
245,i love to run.,i have a lot of trophies from my childhood.,I used to run competitively.,out_of_domain
246,i saw the sun change with out help.,i always found video games to be fun.,"I think the visuals in video games are always more interesting than the visuals of the real world, even spectacular ones like the sun.",out_of_domain
247,i saw the sun change with out help.,i always found video games to be fun.,The sun does that every day! Did you get up early? What kind of things do you do for fun?,out_of_domain
248,i saw the sun change with out help.,i always found video games to be fun.,The sun getting darker on its own was cool.  It was almost as cool as the new Mario game I play.,out_of_domain
249,i enjoy playing tennis.,i am an aspiring singer.,My favorite color is blue.,out_of_domain
250,i enjoy playing tennis.,i am an aspiring singer.,i'm not that into sports. i do want to be a singer though.,out_of_domain
251,my parents are divorced and my mom and i get along well.,i work with computers.,I had to get a high paying computer job to help support my single mother after the divorce.,out_of_domain
252,my parents are divorced and my mom and i get along well.,i work with computers.,My parents got a divorce when I was going to school for computers,out_of_domain
253,my parents are divorced and my mom and i get along well.,i work with computers.,"That's good, my parents are also divorced, but my mom and I don't really have a relationship. She doesn't approve of my job, what do you do for work?",out_of_domain
254,i like bright colors.,i ride in a sporty vehicle.,My car is a bright color.,out_of_domain
255,i like bright colors.,i ride in a sporty vehicle.,My sporty vehicle has bright colors.,out_of_domain
256,i like bright colors.,i ride in a sporty vehicle.,"I like darker colors for everything. Even my car is black, what kind of car do you have? What color is it?",out_of_domain
257,my job helpe me teach kids.,education is a passion of mine.,That is the best way to use your time.,out_of_domain
258,my job helpe me teach kids.,education is a passion of mine.,"Yes, I am a teacher too.",out_of_domain
259,my job helpe me teach kids.,education is a passion of mine.,I admire educators.,out_of_domain
260,my job helpe me teach kids.,education is a passion of mine.,"Education has always been a passion of mine as well, though instead of kids, I teach ESL classes at a night school for immigrating adults.",out_of_domain
261,my job helpe me teach kids.,education is a passion of mine.,I love helping people learn,out_of_domain
262,my job helpe me teach kids.,education is a passion of mine.,I admire educators.,out_of_domain
263,i am a girl who loves sports cars and video games.,i like swimming.,"I'm not a big fan of video games, I prefer to read, and I go swimming every morning. Do you like swimming?",out_of_domain
264,she taught me to cook.,i have a dog.,I liked pet sitting for her.,out_of_domain
265,she taught me to cook.,i have a dog.,I adopted my dog from a neighbor who was from Vietnam and once told me his people cooked and ate dogs back home.,out_of_domain
266,my sister is a published author.,i vacation in florida every winter.,After writing her last book my sister moved to Florida.,out_of_domain
267,my sister is a published author.,i vacation in florida every winter.,My sister lives in Florida now.,out_of_domain
268,my sister is a published author.,i vacation in florida every winter.,She moved to Florida.  I love to see her so I vacation in Florida every winter.,out_of_domain
269,i enjoy throwing a ball down a lane.,i love kids and am a doctor.,"Kids also love bowling, so sometimes I take them go out to the local bowling alley when I'm through treating them.",out_of_domain
270,i enjoy throwing a ball down a lane.,i love kids and am a doctor.,"That's cool, do you do this with your family? Do you have a family?",out_of_domain
271,i enjoy throwing a ball down a lane.,i love kids and am a doctor.,I don't usually have that much time to bowl since I am working.,out_of_domain
272,my canines stay at my residence alone when i travel to see family.,i own a car.,I don't have any pets.  I don't think I'd like them in my car.,out_of_domain
273,my canines stay at my residence alone when i travel to see family.,i own a car.,"It's a new car and I won't let my dog inside because he'll get hair everywhere, so he also has to stay home alone when I go driving.",out_of_domain
274,my canines stay at my residence alone when i travel to see family.,i own a car.,My dogs simply cannot come with me.  They are too big for my small car.,out_of_domain
275,i do not consume any meat or dairy products.,my religion is catholic.,I don't eat any meat or dairy products.  A lot of other Catholics do though.,out_of_domain
276,i do not consume any meat or dairy products.,my religion is catholic.,I hear many buddhists don't eat meat or dairy.,out_of_domain
277,i do not consume any meat or dairy products.,my religion is catholic.,"Catholicism allows you to eat whatever you want, but I'm lactose intolerant and can't have dairy.",out_of_domain
278,females from other countries are pretty.,i enjoy relaxing and getting flowers.,Woman around the world are so beautiful its like looking at flowers.,out_of_domain
279,females from other countries are pretty.,i enjoy relaxing and getting flowers.,"Yeah, I follow this French Florist and she is so pretty, I wish that I lived in France so I could buy some followers from her.",out_of_domain
280,females from other countries are pretty.,i enjoy relaxing and getting flowers.,I think that females all love getting flowers.  I love picking them myself.,out_of_domain
281,females from other countries are pretty.,i enjoy relaxing and getting flowers.,i like giving women flowers,out_of_domain
283,females from other countries are pretty.,i enjoy relaxing and getting flowers.,I think anything feminine is beautiful.  I love flowers too.,out_of_domain
284,i make the greatest dessert all my friends say so.,my preferred style of jeans is from the dk line.,I just hate it when dessert gets on my clothes.,out_of_domain
285,i make the greatest dessert all my friends say so.,my preferred style of jeans is from the dk line.,I like my jeans too much to let myself eat many desserts.,out_of_domain
286,i make the greatest dessert all my friends say so.,my preferred style of jeans is from the dk line.,"I like dessert, but if I eat too much, I won't be able to fit into my jeans.  I like things in the DK line.",out_of_domain
288,i love to use oils to create vivid landscapes.,there is nothing like my mother.,My mother likes arts and wishes she knows how to do oil paintings.,out_of_domain
289,i love to use oils to create vivid landscapes.,there is nothing like my mother.,i used to take classes from my mom before she passed away.,out_of_domain
291,i like sports.,my favorite food is pizza.,I like to eat pizza when watching sports.,out_of_domain
292,i like sports.,my favorite food is pizza.,I eat and drink when i watch the games on tv.,out_of_domain
293,i dropped out of college a month ago.,i like football.,I only went for the sports.,out_of_domain
